puid,x_coord_epsg4326,y_coord_epsg4326,species
94,122.9024171,-4.216193677,rabbitfish
95,121.4765043,-4.219886224,rabbitfish
96,121.5309698,-4.215119638,rabbitfish
97,122.9005724,-4.252946387,rabbitfish
98,123.1421527,-4.25067775,rabbitfish
99,120.4416847,-4.333597892,rabbitfish
100,121.510427,-4.346556284,rabbitfish
101,122.8675114,-4.41884691,rabbitfish
102,122.6727692,-4.349917435,rabbitfish
103,123.0055693,-4.399596626,rabbitfish
104,123.0951343,-4.437870032,rabbitfish
105,120.3828581,-4.446365858,rabbitfish
106,122.3146265,-4.485835011,rabbitfish
107,121.4594884,-4.486566442,rabbitfish
108,122.8886375,-4.493369226,rabbitfish
109,122.7405103,-4.500343044,rabbitfish
110,120.4081171,-4.558321806,rabbitfish
111,120.4331031,-4.505667487,rabbitfish
112,122.2835583,-4.540566143,rabbitfish
113,120.5698892,-4.630758643,rabbitfish
114,122.8581782,-4.559601283,rabbitfish
115,123.1974538,-4.569778262,rabbitfish
116,122.3232288,-4.583602392,rabbitfish
117,121.4553235,-4.581309769,rabbitfish
118,120.5024593,-4.616487522,rabbitfish
119,122.4076366,-4.586751962,rabbitfish
120,122.651502,-4.612197935,rabbitfish
121,122.8435722,-4.62517208,rabbitfish
122,122.3122546,-4.651033027,rabbitfish
123,122.5865217,-4.63894406,rabbitfish
124,123.2115621,-4.720336495,rabbitfish
125,122.053404,-4.71240099,rabbitfish
126,122.4555554,-4.620952157,rabbitfish
127,122.3890646,-4.641370302,rabbitfish
128,122.6162919,-4.638465585,rabbitfish
129,122.7448307,-4.85051028,rabbitfish
130,122.4693316,-4.671673047,rabbitfish
131,122.4205507,-4.670738336,rabbitfish
132,120.5282124,-4.709123854,rabbitfish
133,122.5380661,-4.678939627,rabbitfish
134,122.8377908,-4.7202241,rabbitfish
135,122.3893631,-4.698912679,rabbitfish
136,122.4833433,-4.707657617,rabbitfish
137,123.1304909,-4.757151025,rabbitfish
138,121.489883,-4.7188415,rabbitfish
139,122.3123081,-4.711394419,rabbitfish
